ReqCPUS,ReqNodes,ReqMem,Timelimit,Submit,Start
1,1,257000M,14-00:00:00,2026-07-09T22:34:46,2026-07-09T23:31:46
1,1,257000M,14-00:00:00,2026-07-09T22:34:47,2026-07-10T00:09:04
1,1,257000M,14-00:00:00,2026-07-09T22:34:48,2026-07-10T00:23:12
1,1,257000M,6-00:00:00,2026-07-11T22:18:45,2026-07-12T12:14:35
1,1,257000M,7-00:00:00,2026-07-11T22:31:40,2026-07-12T12:15:25
28,1,257000M,1-12:00:00,2026-07-11T22:34:28,2026-07-12T00:27:05
28,1,257000M,1-12:00:00,2026-07-11T22:34:28,2026-07-12T00:29:53
28,1,257000M,1-12:00:00,2026-07-11T22:34:28,2026-07-12T17:15:39
28,1,257000M,1-12:00:00,2026-07-11T22:34:28,2026-07-12T18:08:59
28,1,257000M,1-12:00:00,2026-07-11T22:34:28,2026-07-12T19:07:20
28,1,257000M,1-12:00:00,2026-07-11T22:34:28,2026-07-12T19:10:51
28,1,257000M,1-12:00:00,2026-07-11T22:34:28,2026-07-12T21:19:33
28,1,257000M,1-12:00:00,2026-07-11T22:34:28,2026-07-12T22:04:55
28,1,257000M,1-12:00:00,2026-07-11T22:34:28,2026-07-12T22:12:05
28,1,257000M,1-12:00:00,2026-07-11T22:34:28,2026-07-12T22:20:05
28,1,257000M,1-12:00:00,2026-07-11T22:34:28,2026-07-12T23:24:56
28,1,257000M,1-12:00:00,2026-07-11T22:34:28,2026-07-13T00:14:47
28,1,257000M,1-12:00:00,2026-07-11T22:34:28,2026-07-13T01:15:58
28,1,257000M,1-12:00:00,2026-07-11T22:34:28,2026-07-13T02:23:09
28,1,257000M,1-12:00:00,2026-07-11T22:34:28,2026-07-13T02:27:40
28,1,257000M,1-12:00:00,2026-07-11T22:34:28,2026-07-13T02:41:20
28,1,257000M,1-12:00:00,2026-07-11T22:34:28,2026-07-13T03:04:30
28,1,257000M,1-12:00:00,2026-07-11T22:34:28,2026-07-13T03:39:21
28,1,257000M,1-12:00:00,2026-07-11T22:34:28,2026-07-13T04:10:32
28,1,257000M,1-12:00:00,2026-07-11T22:34:28,2026-07-13T04:21:02
28,1,257000M,1-12:00:00,2026-07-11T22:34:28,2026-07-13T04:33:02
28,1,257000M,1-12:00:00,2026-07-11T22:34:28,2026-07-13T04:43:32
28,1,257000M,1-12:00:00,2026-07-11T22:34:28,2026-07-13T06:02:34
28,1,257000M,1-12:00:00,2026-07-11T22:34:28,2026-07-13T06:14:54
28,1,257000M,1-12:00:00,2026-07-11T22:34:28,2026-07-13T07:02:15
28,1,257000M,1-12:00:00,2026-07-11T22:34:28,2026-07-13T07:33:56
28,1,257000M,1-12:00:00,2026-07-11T22:34:28,2026-07-13T08:08:07
28,1,257000M,1-12:00:00,2026-07-11T22:34:28,2026-07-13T08:47:48
28,1,257000M,1-12:00:00,2026-07-11T22:34:28,2026-07-13T09:13:19
28,1,257000M,1-12:00:00,2026-07-11T22:34:28,2026-07-13T09:25:19
28,1,257000M,1-12:00:00,2026-07-11T22:34:28,2026-07-13T09:28:30
28,1,257000M,1-12:00:00,2026-07-11T22:34:28,2026-07-13T09:46:10
28,1,257000M,1-12:00:00,2026-07-11T22:34:28,2026-07-13T10:43:23
28,1,257000M,1-12:00:00,2026-07-11T22:34:28,2026-07-13T10:57:36
28,1,257000M,1-12:00:00,2026-07-11T22:34:28,2026-07-13T11:16:39
28,1,257000M,1-12:00:00,2026-07-11T22:34:28,2026-07-13T11:47:47
28,1,257000M,1-12:00:00,2026-07-11T22:34:28,2026-07-13T12:27:14
28,1,257000M,1-12:00:00,2026-07-11T22:34:28,2026-07-13T12:30:14
28,1,257000M,1-12:00:00,2026-07-11T22:34:28,2026-07-13T12:45:00
28,1,257000M,1-12:00:00,2026-07-11T22:34:28,2026-07-13T12:54:53
28,1,257000M,1-12:00:00,2026-07-11T22:34:28,2026-07-13T13:19:00
28,1,257000M,1-12:00:00,2026-07-11T22:34:28,2026-07-13T13:35:56
28,1,257000M,1-12:00:00,2026-07-11T22:34:28,2026-07-13T14:35:53
28,1,257000M,1-12:00:00,2026-07-11T22:34:28,2026-07-13T16:35:47
28,1,257000M,1-12:00:00,2026-07-11T22:34:28,2026-07-13T16:38:18
28,1,257000M,1-12:00:00,2026-07-11T22:34:28,2026-07-13T16:49:32
28,1,257000M,1-12:00:00,2026-07-11T22:34:28,2026-07-13T17:06:27
28,1,257000M,1-12:00:00,2026-07-11T22:34:28,2026-07-13T17:20:17
28,1,257000M,1-12:00:00,2026-07-11T22:34:28,2026-07-13T18:32:52
1,1,257000M,7-00:00:00,2026-07-11T22:45:42,2026-07-12T12:15:45
1,1,257000M,10-00:00:00,2026-07-11T23:19:34,2026-07-11T23:19:43
28,1,257000M,7-00:00:00,2026-07-12T10:17:54,2026-07-12T15:06:43
1,1,257000M,7-00:00:00,2026-07-12T10:38:35,2026-07-12T12:15:45
28,1,257000M,1-12:00:00,2026-07-12T15:07:11,2026-07-12T16:40:13
28,1,257000M,1-12:00:00,2026-07-12T15:07:11,2026-07-12T16:55:52
28,1,257000M,1-12:00:00,2026-07-12T15:07:11,2026-07-12T17:17:17
28,1,257000M,1-12:00:00,2026-07-12T15:07:11,2026-07-12T19:54:31
28,1,257000M,1-12:00:00,2026-07-12T15:07:11,2026-07-12T20:00:41
28,1,257000M,1-12:00:00,2026-07-12T15:07:11,2026-07-12T20:33:42
28,1,257000M,1-12:00:00,2026-07-12T15:07:11,2026-07-12T21:22:43
28,1,257000M,1-12:00:00,2026-07-12T15:07:11,2026-07-12T22:02:15
28,1,257000M,1-12:00:00,2026-07-12T15:07:11,2026-07-12T22:12:05
28,1,257000M,1-12:00:00,2026-07-12T15:07:11,2026-07-12T22:13:15
28,1,257000M,1-12:00:00,2026-07-12T15:07:11,2026-07-12T22:58:46
28,1,257000M,1-12:00:00,2026-07-12T15:07:11,2026-07-12T23:44:06
28,1,257000M,1-12:00:00,2026-07-12T15:07:11,2026-07-12T23:48:26
28,1,257000M,1-12:00:00,2026-07-12T15:07:11,2026-07-13T00:26:17
28,1,257000M,1-12:00:00,2026-07-12T15:07:11,2026-07-13T00:31:47
28,1,257000M,1-12:00:00,2026-07-12T15:07:11,2026-07-13T00:58:18
28,1,257000M,1-12:00:00,2026-07-12T15:07:11,2026-07-13T01:13:08
28,1,257000M,1-12:00:00,2026-07-12T15:07:11,2026-07-13T01:24:58
28,1,257000M,1-12:00:00,2026-07-12T15:07:11,2026-07-13T01:26:58
28,1,257000M,1-12:00:00,2026-07-12T15:07:11,2026-07-13T02:30:30
28,1,257000M,1-12:00:00,2026-07-12T15:07:11,2026-07-13T02:39:00
28,1,257000M,1-12:00:00,2026-07-12T15:07:11,2026-07-13T02:58:30
28,1,257000M,1-12:00:00,2026-07-12T15:07:11,2026-07-13T03:13:40
28,1,257000M,1-12:00:00,2026-07-12T15:07:11,2026-07-13T03:22:41
28,1,257000M,1-12:00:00,2026-07-12T15:07:11,2026-07-13T03:31:01
28,1,257000M,1-12:00:00,2026-07-12T15:07:11,2026-07-13T03:55:01
28,1,257000M,1-12:00:00,2026-07-12T15:07:11,2026-07-13T04:04:01
28,1,257000M,1-12:00:00,2026-07-12T15:07:11,2026-07-13T04:05:21
28,1,257000M,1-12:00:00,2026-07-12T15:07:11,2026-07-13T04:55:22
28,1,257000M,1-12:00:00,2026-07-12T15:07:11,2026-07-13T04:58:43
28,1,257000M,1-12:00:00,2026-07-12T15:07:11,2026-07-13T05:03:43
28,1,257000M,1-12:00:00,2026-07-12T15:07:11,2026-07-13T05:16:03
28,1,257000M,1-12:00:00,2026-07-12T15:07:11,2026-07-13T05:57:54
28,1,257000M,1-12:00:00,2026-07-12T15:07:11,2026-07-13T06:06:04
28,1,257000M,1-12:00:00,2026-07-12T15:07:11,2026-07-13T06:36:34
28,1,257000M,1-12:00:00,2026-07-12T15:07:11,2026-07-13T06:37:34
28,1,257000M,1-12:00:00,2026-07-12T15:07:11,2026-07-13T06:56:55
28,1,257000M,1-12:00:00,2026-07-12T15:07:11,2026-07-13T07:05:15
28,1,257000M,1-12:00:00,2026-07-12T15:07:11,2026-07-13T07:17:35
28,1,257000M,1-12:00:00,2026-07-12T15:07:11,2026-07-13T07:19:46
28,1,257000M,1-12:00:00,2026-07-12T15:07:11,2026-07-13T07:28:06
28,1,257000M,1-12:00:00,2026-07-12T15:07:11,2026-07-13T08:13:37
28,1,257000M,1-12:00:00,2026-07-12T15:07:11,2026-07-13T08:37:08
28,1,257000M,1-12:00:00,2026-07-12T15:07:11,2026-07-13T08:37:58
28,1,257000M,1-12:00:00,2026-07-12T15:07:11,2026-07-13T10:27:11
28,1,257000M,1-12:00:00,2026-07-12T15:07:11,2026-07-13T11:34:32
28,1,257000M,1-12:00:00,2026-07-12T15:07:11,2026-07-13T11:37:42
28,1,257000M,1-12:00:00,2026-07-12T15:07:11,2026-07-13T11:40:43
28,1,257000M,1-12:00:00,2026-07-12T15:07:11,2026-07-13T12:25:24
28,1,257000M,1-12:00:00,2026-07-12T15:07:11,2026-07-13T12:42:04
28,1,257000M,1-12:00:00,2026-07-12T15:07:11,2026-07-13T13:30:05
28,1,257000M,1-12:00:00,2026-07-12T15:07:11,2026-07-13T13:30:15
28,1,257000M,1-12:00:00,2026-07-12T15:07:11,2026-07-13T13:42:16
28,1,257000M,1-12:00:00,2026-07-12T15:07:11,2026-07-13T14:04:06
28,1,257000M,1-12:00:00,2026-07-12T15:07:11,2026-07-13T14:18:57
28,1,257000M,1-12:00:00,2026-07-12T15:07:11,2026-07-13T14:50:48
28,1,257000M,1-12:00:00,2026-07-12T15:07:11,2026-07-13T14:59:28
28,1,257000M,1-12:00:00,2026-07-12T15:07:11,2026-07-13T15:18:08
28,1,257000M,1-12:00:00,2026-07-12T15:07:11,2026-07-13T15:36:29
28,1,257000M,1-12:00:00,2026-07-12T15:07:11,2026-07-13T15:59:40
28,1,257000M,1-12:00:00,2026-07-12T15:07:11,2026-07-13T16:21:31
28,1,257000M,1-12:00:00,2026-07-12T15:07:11,2026-07-13T16:59:03
28,1,257000M,1-12:00:00,2026-07-12T15:07:11,2026-07-13T17:16:53
28,1,257000M,1-12:00:00,2026-07-12T15:07:11,2026-07-13T17:21:43
28,1,257000M,1-12:00:00,2026-07-12T15:07:11,2026-07-13T17:40:24
28,1,257000M,1-12:00:00,2026-07-12T15:07:11,2026-07-13T17:50:14
28,1,257000M,1-12:00:00,2026-07-12T15:07:11,2026-07-13T18:03:24
28,1,257000M,1-12:00:00,2026-07-12T15:07:11,2026-07-13T18:37:45
28,1,257000M,1-12:00:00,2026-07-12T15:07:11,2026-07-13T18:56:15
28,1,257000M,1-12:00:00,2026-07-12T15:07:11,2026-07-13T19:10:05
28,1,257000M,1-12:00:00,2026-07-12T15:07:11,2026-07-13T23:07:47
28,1,257000M,1-12:00:00,2026-07-12T15:07:11,2026-07-13T23:21:07
28,1,257000M,1-12:00:00,2026-07-12T15:07:11,2026-07-13T23:52:07
28,1,257000M,1-12:00:00,2026-07-12T15:07:11,2026-07-14T00:09:47
28,1,257000M,1-12:00:00,2026-07-12T15:07:11,2026-07-14T00:29:59
28,1,257000M,1-12:00:00,2026-07-12T15:07:11,2026-07-14T00:42:05
28,1,257000M,1-12:00:00,2026-07-12T15:07:11,2026-07-14T00:44:29
28,1,257000M,1-12:00:00,2026-07-12T15:07:11,2026-07-14T00:46:27
28,1,257000M,1-12:00:00,2026-07-12T15:07:11,2026-07-14T00:57:08
28,1,257000M,1-12:00:00,2026-07-12T15:07:11,2026-07-14T01:14:24
28,1,257000M,1-12:00:00,2026-07-12T15:07:11,2026-07-14T02:11:47
28,1,257000M,1-12:00:00,2026-07-12T15:07:11,2026-07-14T02:53:19
28,1,257000M,1-12:00:00,2026-07-12T15:07:11,2026-07-14T03:22:07
28,1,257000M,1-12:00:00,2026-07-12T15:07:11,2026-07-14T04:25:37
28,1,257000M,1-12:00:00,2026-07-12T15:07:11,2026-07-14T05:08:30
1,1,257000M,1-00:00:00,2026-07-12T17:26:59,2026-07-12T19:32:27
1,1,257000M,1-00:00:00,2026-07-12T17:26:59,2026-07-12T20:37:27
1,1,257000M,1-00:00:00,2026-07-12T17:26:59,2026-07-12T20:39:17
1,1,257000M,1-00:00:00,2026-07-12T17:26:59,2026-07-12T20:56:57
1,1,257000M,1-00:00:00,2026-07-12T17:26:59,2026-07-12T21:00:27
1,1,257000M,1-00:00:00,2026-07-12T17:26:59,2026-07-12T21:00:27
1,1,257000M,1-00:00:00,2026-07-12T17:26:59,2026-07-12T21:33:00
1,1,257000M,1-00:00:00,2026-07-12T17:26:59,2026-07-12T21:35:08
1,1,257000M,1-00:00:00,2026-07-12T17:26:59,2026-07-12T21:35:53
1,1,257000M,1-00:00:00,2026-07-12T17:26:59,2026-07-12T21:52:11
1,1,257000M,1-00:00:00,2026-07-12T17:26:59,2026-07-12T21:59:03
1,1,257000M,1-00:00:00,2026-07-12T17:26:59,2026-07-12T22:08:47
1,1,257000M,1-00:00:00,2026-07-12T17:26:59,2026-07-12T22:09:47
1,1,257000M,1-00:00:00,2026-07-12T17:26:59,2026-07-12T22:15:00
1,1,257000M,1-00:00:00,2026-07-12T17:26:59,2026-07-12T22:22:57
1,1,257000M,1-00:00:00,2026-07-12T17:26:59,2026-07-12T22:24:27
1,1,257000M,1-00:00:00,2026-07-12T17:26:59,2026-07-12T22:27:05
1,1,257000M,1-00:00:00,2026-07-12T17:26:59,2026-07-12T22:33:28
1,1,257000M,1-00:00:00,2026-07-12T17:26:59,2026-07-12T22:35:57
1,1,257000M,1-00:00:00,2026-07-12T17:26:59,2026-07-12T22:38:53
1,1,257000M,1-00:00:00,2026-07-12T17:26:59,2026-07-12T22:39:47
1,1,257000M,1-00:00:00,2026-07-12T17:26:59,2026-07-12T22:44:27
1,1,257000M,1-00:00:00,2026-07-12T17:26:59,2026-07-12T22:49:12
1,1,257000M,1-00:00:00,2026-07-12T17:26:59,2026-07-12T22:50:53
1,1,257000M,1-00:00:00,2026-07-12T17:26:59,2026-07-12T22:51:58
1,1,257000M,1-00:00:00,2026-07-12T17:26:59,2026-07-12T22:52:57
1,1,257000M,1-00:00:00,2026-07-12T17:26:59,2026-07-12T22:55:47
1,1,257000M,1-00:00:00,2026-07-12T17:26:59,2026-07-12T22:56:50
1,1,257000M,1-00:00:00,2026-07-12T17:26:59,2026-07-12T22:57:22
1,1,257000M,1-00:00:00,2026-07-12T17:26:59,2026-07-12T23:01:46
1,1,257000M,1-00:00:00,2026-07-12T17:26:59,2026-07-12T23:08:09
1,1,257000M,1-00:00:00,2026-07-12T17:26:59,2026-07-12T23:08:56
1,1,257000M,1-00:00:00,2026-07-12T17:26:59,2026-07-12T23:20:31
1,1,257000M,1-00:00:00,2026-07-12T17:26:59,2026-07-12T23:31:23
1,1,257000M,1-00:00:00,2026-07-12T17:26:59,2026-07-12T23:31:37
1,1,257000M,1-00:00:00,2026-07-12T17:26:59,2026-07-12T23:34:51
1,1,257000M,1-00:00:00,2026-07-12T17:26:59,2026-07-12T23:41:40
1,1,257000M,1-00:00:00,2026-07-12T17:26:59,2026-07-12T23:45:03
1,1,257000M,1-00:00:00,2026-07-12T17:26:59,2026-07-12T23:52:07
1,1,257000M,1-00:00:00,2026-07-12T17:26:59,2026-07-12T23:59:07
1,1,257000M,1-00:00:00,2026-07-12T17:26:59,2026-07-13T00:05:48
1,1,257000M,1-00:00:00,2026-07-12T17:26:59,2026-07-13T00:09:09
1,1,257000M,1-00:00:00,2026-07-12T17:26:59,2026-07-13T00:13:49
1,1,257000M,1-00:00:00,2026-07-12T17:26:59,2026-07-13T00:17:10
1,1,257000M,1-00:00:00,2026-07-12T17:26:59,2026-07-13T00:17:57
1,1,257000M,1-00:00:00,2026-07-12T17:26:59,2026-07-13T00:20:07
1,1,257000M,1-00:00:00,2026-07-12T17:26:59,2026-07-13T00:20:31
1,1,257000M,1-00:00:00,2026-07-12T17:26:59,2026-07-13T00:28:50
1,1,257000M,1-00:00:00,2026-07-12T17:26:59,2026-07-13T00:36:09
1,1,257000M,1-00:00:00,2026-07-12T17:26:59,2026-07-13T00:42:21
1,1,257000M,1-00:00:00,2026-07-12T17:26:59,2026-07-13T00:43:07
1,1,257000M,1-00:00:00,2026-07-12T17:26:59,2026-07-13T00:46:07
1,1,257000M,1-00:00:00,2026-07-12T17:26:59,2026-07-13T00:48:08
1,1,257000M,1-00:00:00,2026-07-12T17:26:59,2026-07-13T00:50:07
1,1,257000M,1-00:00:00,2026-07-12T17:26:59,2026-07-13T00:55:18
1,1,257000M,1-00:00:00,2026-07-12T17:26:59,2026-07-13T00:59:32
1,1,257000M,1-00:00:00,2026-07-12T17:26:59,2026-07-13T01:01:22
1,1,257000M,1-00:00:00,2026-07-12T17:26:59,2026-07-13T01:06:27
1,1,257000M,1-00:00:00,2026-07-12T17:26:59,2026-07-13T01:11:27
1,1,257000M,1-00:00:00,2026-07-12T17:26:59,2026-07-13T01:13:29
1,1,257000M,1-00:00:00,2026-07-12T17:26:59,2026-07-13T01:15:17
1,1,257000M,1-00:00:00,2026-07-12T17:26:59,2026-07-13T01:19:07
1,1,257000M,1-00:00:00,2026-07-12T17:26:59,2026-07-13T01:19:07
1,1,257000M,1-00:00:00,2026-07-12T17:26:59,2026-07-13T01:20:17
1,1,257000M,1-00:00:00,2026-07-12T17:26:59,2026-07-13T01:26:17
1,1,257000M,1-00:00:00,2026-07-12T17:26:59,2026-07-13T01:29:37
1,1,257000M,1-00:00:00,2026-07-12T17:26:59,2026-07-13T01:34:49
1,1,257000M,1-00:00:00,2026-07-12T17:26:59,2026-07-13T01:36:47
1,1,257000M,1-00:00:00,2026-07-12T17:26:59,2026-07-13T01:41:38
1,1,257000M,1-00:00:00,2026-07-12T17:26:59,2026-07-13T01:42:17
1,1,257000M,1-00:00:00,2026-07-12T17:26:59,2026-07-13T01:43:49
1,1,257000M,1-00:00:00,2026-07-12T17:26:59,2026-07-13T01:44:27
1,1,257000M,1-00:00:00,2026-07-12T17:26:59,2026-07-13T01:50:08
1,1,257000M,1-00:00:00,2026-07-12T17:26:59,2026-07-13T01:51:07
1,1,257000M,1-00:00:00,2026-07-12T17:26:59,2026-07-13T01:51:50
1,1,257000M,1-00:00:00,2026-07-12T17:26:59,2026-07-13T01:59:29
1,1,257000M,1-00:00:00,2026-07-12T17:26:59,2026-07-13T02:01:43
1,1,257000M,1-00:00:00,2026-07-12T17:26:59,2026-07-13T02:13:28
1,1,257000M,1-00:00:00,2026-07-12T17:26:59,2026-07-13T02:13:57
1,1,257000M,1-00:00:00,2026-07-12T17:26:59,2026-07-13T02:18:21
1,1,257000M,1-00:00:00,2026-07-12T17:26:59,2026-07-13T02:20:18
1,1,257000M,1-00:00:00,2026-07-12T17:26:59,2026-07-13T02:20:27
1,1,257000M,1-00:00:00,2026-07-12T17:26:59,2026-07-13T02:21:27
1,1,257000M,1-00:00:00,2026-07-12T17:26:59,2026-07-13T02:25:50
1,1,257000M,1-00:00:00,2026-07-12T17:26:59,2026-07-13T02:28:02
1,1,257000M,1-00:00:00,2026-07-12T17:26:59,2026-07-13T02:36:20
1,1,257000M,1-00:00:00,2026-07-12T17:26:59,2026-07-13T02:37:08
1,1,257000M,1-00:00:00,2026-07-12T17:26:59,2026-07-13T02:44:31
1,1,257000M,1-00:00:00,2026-07-12T17:26:59,2026-07-13T02:45:08
1,1,257000M,1-00:00:00,2026-07-12T17:26:59,2026-07-13T02:47:27
1,1,257000M,1-00:00:00,2026-07-12T17:26:59,2026-07-13T02:50:28
1,1,257000M,1-00:00:00,2026-07-12T17:26:59,2026-07-13T02:52:29
1,1,257000M,1-00:00:00,2026-07-12T17:26:59,2026-07-13T02:52:49
1,1,257000M,1-00:00:00,2026-07-12T17:26:59,2026-07-13T03:02:11
1,1,257000M,1-00:00:00,2026-07-12T17:26:59,2026-07-13T03:02:57
1,1,257000M,1-00:00:00,2026-07-12T17:26:59,2026-07-13T03:03:28
1,1,257000M,1-00:00:00,2026-07-12T17:26:59,2026-07-13T03:06:07
1,1,257000M,1-00:00:00,2026-07-12T17:26:59,2026-07-13T03:09:53
1,1,257000M,1-00:00:00,2026-07-12T17:26:59,2026-07-13T03:13:41
1,1,257000M,1-00:00:00,2026-07-12T17:26:59,2026-07-13T03:16:03
1,1,257000M,1-00:00:00,2026-07-12T17:26:59,2026-07-13T03:18:29
1,1,257000M,1-00:00:00,2026-07-12T17:26:59,2026-07-13T03:22:32
1,1,257000M,1-00:00:00,2026-07-12T17:26:59,2026-07-13T03:24:57
1,1,257000M,1-00:00:00,2026-07-12T17:26:59,2026-07-13T03:25:00
1,1,257000M,1-00:00:00,2026-07-12T17:26:59,2026-07-13T03:25:03
1,1,257000M,1-00:00:00,2026-07-12T17:26:59,2026-07-13T03:27:07
1,1,257000M,1-00:00:00,2026-07-12T17:26:59,2026-07-13T03:28:07
1,1,257000M,1-00:00:00,2026-07-12T17:26:59,2026-07-13T03:36:57
1,1,257000M,1-00:00:00,2026-07-12T17:26:59,2026-07-13T03:37:32
1,1,257000M,1-00:00:00,2026-07-12T17:26:59,2026-07-13T03:39:10
1,1,257000M,1-00:00:00,2026-07-12T17:26:59,2026-07-13T03:45:47
1,1,257000M,1-00:00:00,2026-07-12T17:26:59,2026-07-13T03:49:03
1,1,257000M,1-00:00:00,2026-07-12T17:26:59,2026-07-13T03:50:37
1,1,257000M,1-00:00:00,2026-07-12T17:26:59,2026-07-13T03:57:19
1,1,257000M,1-00:00:00,2026-07-12T17:26:59,2026-07-13T04:03:47
1,1,257000M,1-00:00:00,2026-07-12T17:26:59,2026-07-13T04:05:27
1,1,257000M,1-00:00:00,2026-07-12T17:26:59,2026-07-13T04:10:41
1,1,257000M,1-00:00:00,2026-07-12T17:26:59,2026-07-13T04:19:03
1,1,257000M,1-00:00:00,2026-07-12T17:26:59,2026-07-13T04:21:47
1,1,257000M,1-00:00:00,2026-07-12T17:26:59,2026-07-13T04:23:17
1,1,257000M,1-00:00:00,2026-07-12T17:26:59,2026-07-13T04:29:57
1,1,257000M,1-00:00:00,2026-07-12T17:26:59,2026-07-13T04:31:13
1,1,257000M,1-00:00:00,2026-07-12T17:26:59,2026-07-13T04:31:57
1,1,257000M,1-00:00:00,2026-07-12T17:26:59,2026-07-13T04:38:30
1,1,257000M,1-00:00:00,2026-07-12T17:26:59,2026-07-13T04:46:23
1,1,257000M,1-00:00:00,2026-07-12T17:26:59,2026-07-13T04:57:21
1,1,257000M,1-00:00:00,2026-07-12T17:26:59,2026-07-13T04:57:37
1,1,257000M,1-00:00:00,2026-07-12T17:26:59,2026-07-13T04:58:49
1,1,257000M,1-00:00:00,2026-07-12T17:26:59,2026-07-13T05:02:53
1,1,257000M,1-00:00:00,2026-07-12T17:26:59,2026-07-13T05:04:54
1,1,257000M,1-00:00:00,2026-07-12T17:26:59,2026-07-13T05:11:47
1,1,257000M,1-00:00:00,2026-07-12T17:26:59,2026-07-13T05:12:31
1,1,257000M,1-00:00:00,2026-07-12T17:26:59,2026-07-13T05:12:37
1,1,257000M,1-00:00:00,2026-07-12T17:26:59,2026-07-13T05:14:27
1,1,257000M,1-00:00:00,2026-07-12T17:26:59,2026-07-13T05:21:03
1,1,257000M,1-00:00:00,2026-07-12T17:26:59,2026-07-13T05:25:37
1,1,257000M,1-00:00:00,2026-07-12T17:26:59,2026-07-13T05:28:14
1,1,257000M,1-00:00:00,2026-07-12T17:26:59,2026-07-13T05:29:33
1,1,257000M,1-00:00:00,2026-07-12T17:26:59,2026-07-13T05:32:30
1,1,257000M,1-00:00:00,2026-07-12T17:26:59,2026-07-13T05:43:43
1,1,257000M,1-00:00:00,2026-07-12T17:26:59,2026-07-13T05:51:09
1,1,257000M,1-00:00:00,2026-07-12T17:26:59,2026-07-13T05:54:07
1,1,257000M,1-00:00:00,2026-07-12T17:26:59,2026-07-13T05:54:42
1,1,257000M,1-00:00:00,2026-07-12T17:26:59,2026-07-13T05:54:47
1,1,257000M,1-00:00:00,2026-07-12T17:26:59,2026-07-13T06:03:47
1,1,257000M,1-00:00:00,2026-07-12T17:26:59,2026-07-13T06:04:37
1,1,257000M,1-00:00:00,2026-07-12T17:26:59,2026-07-13T06:06:14
1,1,257000M,1-00:00:00,2026-07-12T17:26:59,2026-07-13T06:06:20
1,1,257000M,1-00:00:00,2026-07-12T17:26:59,2026-07-13T06:06:38
1,1,257000M,1-00:00:00,2026-07-12T17:26:59,2026-07-13T06:06:54
1,1,257000M,1-00:00:00,2026-07-12T17:26:59,2026-07-13T06:08:37
1,1,257000M,1-00:00:00,2026-07-12T17:26:59,2026-07-13T06:18:07
